movie Name,movie year,movie Rate,movie duration,movie certificate,movie URL
116. Indiana Jones and the Last Crusade,1989,8.2,127,PG,https://www.imdb.com/title/tt0097576/?ref_=chttp_i_116
115. Die Hard,1988,8.2,132,18,https://www.imdb.com/title/tt0095016/?ref_=chttp_i_115
108. Citizen Kane,1941,8.2,119,A,https://www.imdb.com/title/tt0033467/?ref_=chttp_i_108
125. Bicycle Thieves,1948,8.2,89,U,https://www.imdb.com/title/tt0040522/?ref_=chttp_i_125
129. The Truman Show,1998,8.2,103,PG,https://www.imdb.com/title/tt0120382/?ref_=chttp_i_129
128. Green Book,2018,8.2,130,12A,https://www.imdb.com/title/tt6966692/?ref_=chttp_i_128
133. Batman Begins,2005,8.2,140,12A,https://www.imdb.com/title/tt0372784/?ref_=chttp_i_133
132. Taxi Driver,1976,8.2,114,18,https://www.imdb.com/title/tt0075314/?ref_=chttp_i_132
134. For a Few Dollars More,1965,8.2,132,15,https://www.imdb.com/title/tt0059578/?ref_=chttp_i_134
136. Shutter Island,2010,8.2,138,15,https://www.imdb.com/title/tt1130884/?ref_=chttp_i_136
124. Downfall,2004,8.2,156,15,https://www.imdb.com/title/tt0363163/?ref_=chttp_i_124
127. The Wolf of Wall Street,2013,8.2,180,18,https://www.imdb.com/title/tt0993846/?ref_=chttp_i_127
139. The Kid,1921,8.2,68,U,https://www.imdb.com/title/tt0012349/?ref_=chttp_i_139
140. The Father,2020,8.2,97,12A,https://www.imdb.com/title/tt10272386/?ref_=chttp_i_140
141. There Will Be Blood,2007,8.2,158,12A,https://www.imdb.com/title/tt0469494/?ref_=chttp_i_141
142. All About Eve,1950,8.2,138,A,https://www.imdb.com/title/tt0042192/?ref_=chttp_i_142
143. The Sixth Sense,1999,8.2,107,15,https://www.imdb.com/title/tt0167404/?ref_=chttp_i_143
144. Ran,1985,8.2,160,15,https://www.imdb.com/title/tt0089881/?ref_=chttp_i_144
145. Casino,1995,8.2,178,18,https://www.imdb.com/title/tt0112641/?ref_=chttp_i_145
146. Top Gun: Maverick,2022,8.2,130,12A,https://www.imdb.com/title/tt1745960/?ref_=chttp_i_146
147. No Country for Old Men,2007,8.2,122,15,https://www.imdb.com/title/tt0477348/?ref_=chttp_i_147
148. The Thing,1982,8.2,109,X,https://www.imdb.com/title/tt0084787/?ref_=chttp_i_148
149. Unforgiven,1992,8.2,130,15,https://www.imdb.com/title/tt0105695/?ref_=chttp_i_149
150. Pan's Labyrinth,2006,8.2,118,15,https://www.imdb.com/title/tt0457430/?ref_=chttp_i_150
151. Kill Bill: Vol. 1,2003,8.2,111,18,https://www.imdb.com/title/tt0266697/?ref_=chttp_i_151
152. A Beautiful Mind,2001,8.2,135,12,https://www.imdb.com/title/tt0268978/?ref_=chttp_i_152
137. Some Like It Hot,1959,8.2,121,A,https://www.imdb.com/title/tt0053291/?ref_=chttp_i_137
123. L.A. Confidential,1997,8.2,138,18,https://www.imdb.com/title/tt0119488/?ref_=chttp_i_123
154. The Treasure of the Sierra Madre,1948,8.2,126,A,https://www.imdb.com/title/tt0040897/?ref_=chttp_i_154
155. Finding Nemo,2003,8.2,100,U,https://www.imdb.com/title/tt0266543/?ref_=chttp_i_155
156. Howl's Moving Castle,2004,8.2,119,U,https://www.imdb.com/title/tt0347149/?ref_=chttp_i_156
157. Yojimbo,1961,8.2,110,A,https://www.imdb.com/title/tt0055630/?ref_=chttp_i_157
159. The Great Escape,1963,8.2,172,PG,https://www.imdb.com/title/tt0057115/?ref_=chttp_i_159
160. Monty Python and the Holy Grail,1975,8.2,91,12A,https://www.imdb.com/title/tt0071853/?ref_=chttp_i_160
161. The Elephant Man,1980,8.2,124,AA,https://www.imdb.com/title/tt0080678/?ref_=chttp_i_161
162. Klaus,2019,8.2,96,PG,https://www.imdb.com/title/tt4729430/?ref_=chttp_i_162
163. Dial M for Murder,1954,8.2,105,PG,https://www.imdb.com/title/tt0046912/?ref_=chttp_i_163
164. Gone with the Wind,1939,8.2,238,PG,https://www.imdb.com/title/tt0031381/?ref_=chttp_i_164
165. The Secret in Their Eyes,2009,8.2,129,18,https://www.imdb.com/title/tt1305806/?ref_=chttp_i_165
178. The Wild Robot,2024,8.2,102,U,https://www.imdb.com/title/tt29623480/?ref_=chttp_i_178
187. Children of Heaven,1997,8.2,89,PG,https://www.imdb.com/title/tt0118849/?ref_=chttp_i_187
192. Spider-Man: No Way Home,2021,8.2,148,12A,https://www.imdb.com/title/tt10872600/?ref_=chttp_i_192
153. Prisoners,2013,8.2,153,15,https://www.imdb.com/title/tt1392214/?ref_=chttp_i_153
138. Jurassic Park,1993,8.2,127,PG,https://www.imdb.com/title/tt0107290/?ref_=chttp_i_138
246. Gangs of Wasseypur,2012,8.2,321,18,https://www.imdb.com/title/tt1954470/?ref_=chttp_i_246
245. Demon Slayer: Kimetsu no Yaiba - The Movie: Mugen Train,2020,8.2,117,15,https://www.imdb.com/title/tt11032374/?ref_=chttp_i_245
249. Drishyam,2015,8.2,163,12A,https://www.imdb.com/title/tt4430212/?ref_=chttp_i_249
239. My Father and My Son,2005,8.2,112,PG,https://www.imdb.com/title/tt0476735/?ref_=chttp_i_239
174. The Bridge on the River Kwai,1957,8.1,161,U,https://www.imdb.com/title/tt0050212/?ref_=chttp_i_174
175. Raging Bull,1980,8.1,129,X,https://www.imdb.com/title/tt0081398/?ref_=chttp_i_175
176. Harry Potter and the Deathly Hallows: Part 2,2011,8.1,130,12A,https://www.imdb.com/title/tt1201607/?ref_=chttp_i_176
177. Fargo,1996,8.1,98,18,https://www.imdb.com/title/tt0116282/?ref_=chttp_i_177
170. Inside Out,2015,8.1,95,U,https://www.imdb.com/title/tt2096673/?ref_=chttp_i_170
"171. Three Billboards Outside Ebbing, Missouri",2017,8.1,115,15,https://www.imdb.com/title/tt5027774/?ref_=chttp_i_171
173. Trainspotting,1996,8.1,93,18,https://www.imdb.com/title/tt0117951/?ref_=chttp_i_173
172. Catch Me If You Can,2002,8.1,141,12A,https://www.imdb.com/title/tt0264464/?ref_=chttp_i_172
"167. Lock, Stock and Two Smoking Barrels",1998,8.1,107,18,https://www.imdb.com/title/tt0120735/?ref_=chttp_i_167
168. V for Vendetta,2005,8.1,132,15,https://www.imdb.com/title/tt0434409/?ref_=chttp_i_168
169. Rashomon,1950,8.1,88,X,https://www.imdb.com/title/tt0042876/?ref_=chttp_i_169
166. Chinatown,1974,8.1,130,X,https://www.imdb.com/title/tt0071315/?ref_=chttp_i_166
186. My Neighbour Totoro,1988,8.1,86,U,https://www.imdb.com/title/tt0096283/?ref_=chttp_i_186
